日期,收盘价
2000/1/4,1406.371
2000/1/5,1409.682
2000/1/6,1463.942
2000/1/7,1516.604
2000/1/10,1545.112
2000/1/11,1479.781
2000/1/12,1438.02
2000/1/13,1424.442
2000/1/14,1408.848
2000/1/17,1433.33
2000/1/18,1426.623
2000/1/19,1440.724
2000/1/20,1466.863
2000/1/21,1465.085
2000/1/24,1477.344
2000/1/25,1476.506
2000/1/26,1481.117
2000/1/27,1506.767
2000/1/28,1534.997
2000/2/14,1673.943
2000/2/15,1670.67
2000/2/16,1693.109
2000/2/17,1640.649
2000/2/18,1668.091
2000/2/21,1677.136
2000/2/22,1632.294
2000/2/23,1594.93
2000/2/24,1634.309
2000/2/25,1631.576
2000/2/28,1704.855
2000/2/29,1714.578
2000/3/1,1697.744
2000/3/2,1713.014
2000/3/3,1738.021
2000/3/6,1681.085
2000/3/7,1694.798
2000/3/8,1726.033
2000/3/9,1732.346
2000/3/10,1705.049
2000/3/13,1728.875
2000/3/14,1685.347
2000/3/15,1681.471
2000/3/16,1607.527
2000/3/17,1658.601
2000/3/20,1699.248
2000/3/21,1710.324
2000/3/22,1720.446
2000/3/23,1747.241
2000/3/24,1730.499
2000/3/27,1775.914
2000/3/28,1791.441
2000/3/29,1788.807
2000/3/30,1810.984
2000/3/31,1800.225
2000/4/3,1801.003
2000/4/4,1760.692
2000/4/5,1771.199
2000/4/6,1809.141
2000/4/7,1819.896
2000/4/10,1826.061
2000/4/11,1821.174
2000/4/12,1807.328
2000/4/13,1831.548
2000/4/14,1833.665
2000/4/17,1795.058
2000/4/18,1813.495
2000/4/19,1828.71
2000/4/20,1847.071
2000/4/21,1841.064
2000/4/24,1837.398
2000/4/25,1833.469
2000/4/26,1832.779
2000/4/27,1806.83
2000/4/28,1836.321
2000/5/8,1836.637
2000/5/9,1806.638
2000/5/10,1752.689
2000/5/11,1724.048
2000/5/12,1720.608
2000/5/15,1704.587
2000/5/16,1724.538
2000/5/17,1725.398
2000/5/18,1758.537
2000/5/19,1777.828
2000/5/22,1824.736
2000/5/23,1832.075
2000/5/24,1855.493
2000/5/25,1880.704
2000/5/26,1879.617
2000/5/29,1898.748
2000/5/30,1877.471
2000/5/31,1894.554
2000/6/1,1903.488
2000/6/2,1916.25
2000/6/5,1899.092
2000/6/6,1925.544
2000/6/7,1935.031
2000/6/8,1925.206
2000/6/9,1900.787
2000/6/12,1912.557
2000/6/13,1938.674
2000/6/14,1932.29
2000/6/15,1942.285
2000/6/16,1926.944
2000/6/19,1915.205
2000/6/20,1895.348
2000/6/21,1913.131
2000/6/22,1913.901
2000/6/23,1939.627
2000/6/26,1948.639
2000/6/27,1942.898
2000/6/28,1947.481
2000/6/29,1937.261
2000/6/30,1928.106
2000/7/3,1895.637
2000/7/4,1907.931
2000/7/5,1909.187
2000/7/6,1902.552
2000/7/7,1932.792
2000/7/10,1948.021
2000/7/11,1960.541
2000/7/12,1973.374
2000/7/13,1979.201
2000/7/14,1987.192
2000/7/17,1982.479
2000/7/18,1993.986
2000/7/19,1998.426
2000/7/20,1991.56
2000/7/21,1996.336
2000/7/24,1989.239
2000/7/25,1996.577
2000/7/26,2012.319
2000/7/27,2012.35
2000/7/28,2012.793
2000/7/31,2023.539
2000/8/1,2028.151
2000/8/2,2030.683
2000/8/3,2036.301
2000/8/4,2026.361
2000/8/7,2039.419
2000/8/8,2049.916
