时间,收盘价,最高价,最低价,开盘价
2017/12/29,3307.1721,3308.2249,3292.7699,3295.2461
2017/12/28,3296.3847,3304.0962,3263.7282,3272.2913
2017/12/27,3275.7828,3307.0798,3270.349,3302.4612
2017/12/26,3306.1246,3307.2994,3274.3274,3277.8372
2017/12/25,3280.461,3312.2998,3270.4407,3296.2106
2017/12/22,3297.063,3307.3276,3293.4415,3297.6852
2017/12/21,3300.0593,3309.2233,3267.4042,3281.1179
2017/12/20,3287.6057,3300.2124,3276.1201,3296.7403
2017/12/19,3296.5384,3296.9398,3266.0191,3266.0191
2017/12/18,3267.9224,3280.5438,3254.1775,3268.0335
2017/12/15,3266.1371,3287.5292,3259.3883,3287.5292
2017/12/14,3292.4385,3309.5295,3282.5732,3302.9322
2017/12/13,3303.0373,3304.0101,3273.3248,3278.3968
2017/12/12,3280.8136,3320.3103,3280.3291,3320.3103
2017/12/11,3322.1956,3322.6736,3288.2949,3290.4881
2017/12/8,3289.9924,3297.1304,3258.7593,3264.4776
2017/12/7,3272.0542,3291.2817,3259.1637,3283.2791
2017/12/6,3293.9648,3296.2013,3254.6108,3291.3128
2017/12/5,3303.6751,3315.7373,3300.5117,3301.6906
2017/12/4,3309.6183,3323.9961,3304.1034,3310.3814
2017/12/1,3317.6174,3324.5161,3302.4398,3315.1051
2017/11/30,3317.1884,3340.9201,3306.2832,3328.6427
2017/11/29,3337.862,3343.0624,3305.5721,3335.5671
2017/11/28,3333.657,3333.7998,3300.7808,3311.2322
2017/11/27,3322.2298,3347.0506,3315.2642,3346.6567
2017/11/24,3353.8207,3360.7459,3328.3339,3340.3842
2017/11/23,3351.9182,3429.4237,3342.3324,3425.0093
2017/11/22,3430.4643,3442.1777,3404.2865,3417.3313
2017/11/21,3410.4977,3419.802,3377.5989,3382.3595
2017/11/20,3392.3988,3393.1063,3337.116,3361.3563
2017/11/17,3382.9075,3403.2855,3373.2956,3392.6834
2017/11/16,3399.2503,3409.6532,3390.5888,3393.1937
2017/11/15,3402.5245,3423.7495,3396.381,3416.2112
2017/11/14,3429.5482,3450.4949,3419.6919,3446.5453
